#       r/R             l_rad/L
      0.98965598   8.2775136e-07
      0.98961223   8.3900666e-07
      0.98956833   8.5055349e-07
      0.98952428   8.6239653e-07
      0.98948008   8.7454119e-07
      0.98943572   8.8699288e-07
      0.98939121   8.9975703e-07
      0.98934654   9.1283743e-07
      0.98930172   9.2623523e-07
      0.98925674   9.3995457e-07
      0.98921161   9.5399934e-07
      0.98916631   9.6837302e-07
      0.98912085   9.8307844e-07
      0.98907524   9.9812295e-07
      0.98902945   1.0135256e-06
      0.98898351   1.0293073e-06
      0.98893740   1.0454904e-06
      0.98889112   1.0620986e-06
      0.98884468   1.0791533e-06
      0.98879806   1.0966770e-06
      0.98875128   1.1147043e-06
      0.98870432   1.1332642e-06
      0.98865720   1.1523866e-06
      0.98860990   1.1720990e-06
      0.98856242   1.1924249e-06
      0.98851477   1.2134011e-06
      0.98846694   1.2350673e-06
      0.98841893   1.2574653e-06
      0.98837074   1.2806348e-06
      0.98832237   1.3046059e-06
      0.98827381   1.3294186e-06
      0.98822507   1.3551141e-06
      0.98817615   1.3817245e-06
      0.98812703   1.4095309e-06
      0.98807773   1.4380089e-06
      0.98802823   1.4673031e-06
      0.98797854   1.4977494e-06
      0.98792865   1.5292305e-06
      0.98787857   1.5616921e-06
      0.98782829   1.5950907e-06
      0.98777781   1.6293937e-06
      0.98772713   1.6645682e-06
      0.98767624   1.7005778e-06
      0.98762515   1.7373736e-06
      0.98757386   1.7749071e-06
      0.98752235   1.8131256e-06
      0.98747063   1.8519678e-06
      0.98741870   1.8913518e-06
      0.98736655   1.9311796e-06
      0.98731418   1.9713528e-06
      0.98726160   2.0117246e-06
      0.98720880   2.0519818e-06
      0.98715577   2.0917988e-06
      0.98710251   2.1314892e-06
      0.98704903   2.1713976e-06
      0.98699533   2.2118559e-06
      0.98694139   2.2532202e-06
      0.98688721   2.2957281e-06
      0.98683280   2.3383056e-06
      0.98677816   2.3808122e-06
      0.98672327   2.4233292e-06
      0.98666815   2.4658954e-06
      0.98661277   2.5085578e-06
      0.98655716   2.5513551e-06
      0.98650129   2.5943222e-06
      0.98644517   2.6374923e-06
      0.98638880   2.6808987e-06
      0.98633217   2.7245754e-06
      0.98627529   2.7685414e-06
      0.98621814   2.8127931e-06
      0.98616073   2.8573622e-06
      0.98610305   2.9022837e-06
      0.98604511   2.9475948e-06
      0.98598690   2.9933353e-06
      0.98592841   3.0395475e-06
      0.98586965   3.0862767e-06
      0.98581061   3.1335392e-06
      0.98575128   3.1813491e-06
      0.98569168   3.2297620e-06
      0.98563178   3.2788389e-06
      0.98557160   3.3286469e-06
      0.98551113   3.3792596e-06
      0.98545036   3.4307579e-06
      0.98538930   3.4832572e-06
      0.98532793   3.5369667e-06
      0.98526627   3.5917966e-06
      0.98520430   3.6476324e-06
      0.98514203   3.7043765e-06
      0.98507944   3.7619372e-06
      0.98501654   3.8202206e-06
